date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:28	11631/11631	---M--	200	added ('OK')	application/javascript	etag:%222d6f-604e3030bd08d%22	https://subes.becasbenitojuarez.gob.mx/utils/inicio/inicio.js	C:/CloneWeb/clonweb/subes.becasbenitojuarez.gob.mx/utils/inicio/inicio.js	(from https://subes.becasbenitojuarez.gob.mx/)
21:56:31	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	http://www.google-analytics.com/analytics.js	C:/CloneWeb/clonweb/www.google-analytics.com/analytics.js	(from https://subes.becasbenitojuarez.gob.mx/)
21:56:31	6984/6984	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22be894c5d0d63f3381ee3b538a66493a0:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.eot?xc1rry	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.eot	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:31	6984/6984	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22be894c5d0d63f3381ee3b538a66493a0:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.eot?	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxd41d.eot	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:31	6896/6896	---M--	200	added ('OK')	font/woff	etag:%220ae25876a2ee7d3c3bc83c07d4c3ebe9:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.woff?xc1rry	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.woff	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:32	6820/6820	---M--	200	added ('OK')	font/ttf	etag:%22d90cda4d7955cc35654b885d29a04a6b:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.ttf?xc1rry	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.ttf	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:32	15273/15273	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d398eda605952e360636b1c40aeaaf52:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.svg?xc1rry	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.svg	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:32	2323/2323	---M--	200	added ('OK')	image/png	etag:%2234a1ff43589273ca202e1fa5bc6d110b:1455604052%22	https://framework-gb.cdn.gob.mx/assets/images/icons_full.png	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/images/icons_full.png	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:56:32	10/10	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Sep%202023%2003:56:32%20GMT	https://framework-gb.cdn.gob.mx/assets/images/home_picture.jpg	C:/CloneWeb/clonweb/framework-gb.cdn.gob.mx/assets/images/home_picture.jpg	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
21:57:32	2600829/2600829	---M--	200	added ('OK')	application/pdf	etag:%2227af7d-5fdb6d6ef33bc%22	https://subes.becasbenitojuarez.gob.mx/archivos/tutor/manual_general.pdf	C:/CloneWeb/clonweb/subes.becasbenitojuarez.gob.mx/archivos/tutor/manual_general.pdf	(from https://subes.becasbenitojuarez.gob.mx/)
21:57:36	10/10	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Sep%202023%2003:57:34%20GMT	https://framework-gb.cdn.gob.mx/robots.txt		(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
